41,2,2650
59,3,3000
43,2,2770
60,2,4990
62,3,3500
35,1,2600
41,1,2750
44,2,2650
62,4,3600
27,1,1850
37,1,2200
50,2,3650
20,1,2500
44,2,3450
25,2,2500
62,4,3150
40,1,2950
28,1,1720
37,1,2000
43,2,2850
44,2,2300
31,1,1900
52,3,3600
44,2,2500
60,3,4000
23,1,1400
48,2,2500
48,2,3600
55,2,5500
58,2,3350
41,2,3300
74,3,5100
37,1,2550
47,3,2670
44,2,2499
48,3,2999
42,2,2845
65,2,3549
62,2,3287
64,2,3368
38,1,2329
67,4,4314
37,1,3299
44,2,3179
44,2,3299
53,3,4239
